2012 Antonyuk,"Antonyuk, K.A., Kiselev, N.N. 2012. 554 Peraga - an asteroid with  unusual polarization properties? Solar System Research, 46, 54-56.",10.1134/S0038094611060013 
2010 Bagnulo,"Bagnulo, S., Tozzi, G.P., Boehnhardt, H., Vincent, J.-B., Muinonen, K. 2010. Polarimetry and photometry of the peculiar main-belt object 7968 = 133P/Elst-Pizarro. Astron. Astrophys. 514, A99, 13 pp.",10.1051/0004-6361/200913339
2016 Bagnulo,"Bagnulo, S., Belskaya, I., Stinson, A., Christou, A., Borisov, G.B. 2016. Broadband linear polarization of Jupiter Trojans. Astron. Astrophys. 585, A122, 12 pp. ",10.1051/0004-6361/201526889
1985 Belskaya,"Belskaya, I.N., Efimov, Y.S., Lupishko, D.F., Shakhovskoj, N.M. 1985. Five-color polarimetry of Asteroid 16 Psyche. Sov. Astron. Lett. 11, 116-118; & Pisma Astron. Zhurnal, 11, 286-291 (Russian)",N/A
1987a Belskaya,"Belskaya, I.N., Kiselev, N.N., Lupishko, D.F., Chernova, G.P. 1987a. Polarimetry of CMEU asteroids. I. Number of M-type asteroids. Kinemat. Fizika. Neb. Tel 3, 19-21 (Russian).",N/A
1987b Belskaya,"Belskaya, I.N., Lupishko, D.F., Shakhovskoi, N.M. 1987b. Negative polarization spectra for five asteroids. Sov. Astron. Lett. 13, 219-220.",N/A
1991 Belskaya,"Belskaya, I.N., Kiselev, N.N., Lupishko, D.F., Chernova, G.P. 1991. Polarimetry of CMEU asteroids. II. A peculiarity of M-type asteroids.Kinemat. Phys. Celest. Bodies 7, 8-11.",N/A
2003 Belskaya,"Belskaya, I.N., Shevchenko, V.G., Kiselev, N.N., Krugly, Yu.N., Shakhovskoy, N.M., Efimov, Yu.S., Gaftonyuk, N.M., Cellino, A., Gil-Hutton, R. 2003. Opposition polarimetry and photometry of S and E-type asteroids. Icarus 166, 276-284.",10.1016/j.icarus.2003.09.005
2005 Belskaya,"Belskaya, I.N., Shkuratov, Yu.G., Efimov, Yu.S., Shakhovskoy, N.M., Gil-Hutton, R., Cellino, A., Zubko, E.S., Ovcharenko, A.A., Bondarenko, S.Yu., Shevchenko, V.G., Fornasier, S., Barbieri, C. 2005. The F-type asteroids with small inversion angles of polarization. Icarus 178,  213-221.",10.1016/j.icarus.2005.04.015
2009a Belskaya,"Belskaya, I.N., Fornasier, S., Krugly, Yu.N. 2009a. Polarimetry and BVRI photometry of the potentially hazardous near-Earth Asteroid (23187) 2000 PN9. Icarus 201, 167-171.",10.1016/j.icarus.2008.12.026
2009b Belskaya,"Belskaya, I.N., Levasseur-Regourd, A.-C., Cellino, A., Efimov, Yu.S., Shakhovskoy, N.M., Hadamcik, I., Bendjoya, P. 2009b. Polarimetry of main belt asteroids: Wavelength dependence. Icarus 199, 97-105.",10.1016/j.icarus.2008.09.010
2010 Belskaya,"Belskaya, I.N., Fornasier, S., Krugly, Yu.N., Shevchenko, V.G., Gaftonyuk, N.M., Barucci, M.A., Fulchignoni, M., Gil-Hutton, R. 2010. Puzzling Asteroid 21 Lutetia: our knowledge prior to the Rosetta fly-by. Astron. Astrophys. 515, A29, 8 pp.",10.1051/0004-6361/201013994 
2017 Belskaya,"Belskaya, I.N., Fornasier, S., Tozzi, G.P., Gil-Hutton, R., Cellino, A., Antonyuk, K., Krugly, Yu.N., Dovgopol, A.N., Faggi, S. 2017. Refining the asteroid taxonomy by polarimetric observations. Icarus 284, 30-42.",10.1016/j.icarus.2016.11.003
1989 Broglia,"Broglia, P., Manara, A. 1989. Rotational variations in the optical polarization of 4 Vesta. Astron. Astrophys. 214, 389-390.",N/A
1990 Broglia,"Broglia, P., Manara, A. 1990. A search for rotational variations in the optical polarization of 3 Juno and 7 Iris. Astron. Astrophys. 237,  256-258",N/A
1992 Broglia,"Broglia, P., Manara, A. 1992. A study of the polarimetric lightcurve of the Asteroid 16 Psyche. Astron. Astrophys. 257, 770-772.",N/A
1994a Broglia,"Broglia, P., Manara, A. 1994a. Polarimetric observations of 51 NEMAUSA during it 1991 apparition. Astron. Astrophys. 281, 576-578.",N/A
1994b Broglia,"Broglia, P., Manara, A., Farinella, P. 1994b. Polarimetric observations of (6) Hebe. Icarus 109, 204-209.",10.1006/icar.1994.1086
2012 Canada-Assandri,"Cañada-Assandri, M., Gil-Hutton, R., Benavidez, P. 2012. Polarimetric survey of main-belt asteroids. III. Results for 33 X-type objects. Astron. Astrophys. 542, A11, 5pp.",10.1051/0004-6361/201118734
2005 Cellino,"Cellino, A., Yoshida,  F., Anderlucci, E., Bendjoya, Ph., Di Martino, M., Ishiguro, M., Nakamura, A.M., Saito, J. 2005. A polarimetric study of Asteroid 25143 Itokawa. Icarus 179,  297-303.",10.1016/j.icarus.2005.08.005
2010 Cellino,"Cellino, A., Delbò, M., Bendjoya, Ph., Tedesco, E.F. 2010. Polarimetric evidence of close similarity between members of the Karin and Koronis dynamical families. Icarus  209, 556-563.",10.1016/j.icarus.2010.05.014
2018 Cellino,"Cellino, A., Bagnulo, S., Belskaya. I.N., Christou A.A. 2018. Unusual polarimetric properties of (101955) Bennu: similarities with F-class asteroids and cometary bodies. Mon. Not. Royal Astron. Soc. Lett. 481, L49-L53.",2018MNRAS.481L..49C
1991 Chernova,"Chernova, G.P., Lupishko, D.F., Shevchenko, V.G., Kiselev. N.N., Saljes R. 1991. Photometry and polarimetry of the Asteroid 47 Aglaja. Kinematics Phys. Celest. Bodies 7, 15-21.",N/A
1991 Chernova,"Chernova, G.P., Lupishko, D.F., Shevchenko, V.G. 1994. Photometry and polarimetry of Asteroid 24 Themis. Kinemat. Fiz. Neb. Tel. 10, 45-49 (Russian).",N/A
2007 Delbo,"Delbò, M., Cellino, A., Tedesco. E.F. 2007. Albedo and size determination of potentially hazardous asteroids: (99942) Apophis. Icarus 188, 266-269. ",10.1016/j.icarus.2006.12.024
2007 De Luise,"De Luise, F., Perna, D., Dotto, E., Fornasier, S., Belskaya, I.N., Boattini, A., Valsecchi, G.B., Milani, A., Rossi, A., Lazzarin, M., Paolicchi, P., Fulchignoni, M. 2007. Physical investigation of the potentially hazardous Asteroid (144898) 2004 VD17. Icarus 191, 628-635.",10.1016/j.icarus.2007.05.018
2017 DeVogele,"DeVogele, M., Cellino, A., Bagnulo, S., Rivet, J.P., Bendjoya, P., Abe, L.., Pernechele, C., Massone, G., Vernet, D., Tanga, P., Dimur, C. 2017. The Calern Asteroid Polarimetric Survey using the Torino polarimeter: assessment of instrument performances and first scientific results. Mon. Not. Royal Astron. Soc. 465, 4335-4347. ",10.1093/mnras/stw2952
2018a DeVogele,"DeVogele, M., Cellino, A., Borisov, G., Bendjoya, Ph., Rivet, J.-P., Abe, L.., Bagnulo, S., Christou A., Vernet, D., Donchev, Z., Belskaya, I., Bonev, T., Krugly, Yu.N.  2018a. The phase-polarization curve of Asteroid (3200) Phaethon. Mon. Not. Royal Astron. Soc. 479, 3498-3508.",10.1093/mnras/sty1587
2018b DeVogele,"DeVogele, M., Tanga, P., Cellino, A.,  Bendjoya, Ph., Rivet, J. -P., Surdej, J., Vernet, D., Sunshine, J. M., Bus S. J., Abe, L.., Bagnulo, S., Borisov, G., Campins, H., Cary, B., Licandro, J., McLean, W., Pinilla-Alonso, N.  2018b. New polarimetric and spectroscopic evidence on anomalous enrichment in spinel-bearing calcium-aluminium-rich inclusions among L-type asteroids. Icarus 304, 31-57. ",10.1016/j.icarus.2017.12.026
1973 Dunlap,"Dunlap, J.L., Gehrels, T., Howes, M.L. 1973. Minor planets and related objects. IX. Photometry and polarimetry of (1685) Toro.Astron. J. 78, 491-501. ",10.1086/111447
1974 Dunlap,"Dunlap, J.L. 1974. Minor planets and related objects. XV. Asteroid (1620) Geographos. Astron. J. 79, 324-332.",10.1086/111546
2006a Fornasier,"Fornasier, S., Belskaya, I., Fulchignoni, M., Barucci, M.A., Barbieri, C. 2006a. First albedo determination of 2867 Steins, target of the Rosetta mission. Astron. Astrophys. 449, L9-L12.",10.1051/0004-6361:20064913 
2006b Fornasier,"Fornasier, S., Belskaya, I.N., Shkuratov, Yu.G., Pernechele, C., Barbieri, C.,  Giro, E., Navasardyan, H. 2006b. Polarimetric survey of asteroids with the Asiago telescope. Astron. Astrophys. 455, 371-377.",10.1051/0004-6361:20064836
2015 Fornasier,"Fornasier, S., Belskaya, I.N., Perna, D. 2015. The potentially hazardous Asteroid (214869) 2007 PA8: An unweathered L chondrite analog surface. Icarus 250, 280-286.",10.1016/j.icarus.2014.12.015
1970 Gehrels,"Gehrels, T., Roemer, E., Taylor, R.C., Zellner, B.H. 1970. Minor planets and related objects. IV. Asteroid (1566) Icarus. Astron. J. 75, 186-195.",10.1086/110962
2007a Gil-Hutton,"Gil-Hutton, R. 2007a. Polarimetry of M-type asteroids. Astron. Astrophys. 464, 1127-1132.",10.1051/0004-6361:20066348
2007b Gil-Hutton,"Gil-Hutton, R., Lazzaro, D., Benavidez, P. 2007b. Polarimetric observations of Hungaria asteroids. Astron. Astrophys. 468, 1109-1114. ",10.1051/0004-6361:20077178
2008 Gil-Hutton,"Gil-Hutton, R., Mesa, V., Cellino, A., Bendjoya, P., Peñaloza, L., Lovos, F. 2008. New cases of unusual polarimetric behavior in asteroids. Astron. Astrophys. 482, p. 309-314. ",10.1051/0004-6361:20078965 
2011 Gil-Hutton,"Gil-Hutton, R., Cañada-Assandri, M. 2011. Polarimetric survey of main-belt asteroids. I. Results for fifty seven S-, L-, and K-type objects. Astron. Astrophys. 529, A86, 4 pp. ",10.1051/0004-6361/201015402
2012 Gil-Hutton,"Gil-Hutton, R., Cañada-Assandri, M. 2012. Polarimetric survey of main-belt asteroids. II. Results for 58 B- and C-type objects. Astron. Astrophys. 539, A115, 4 pp.",10.1051/0004-6361/201117237
2014 Gil-Hutton,"Gil-Hutton, R., Cellino, A., Bendjoya, Ph. 2014. Polarimetric survey of main-belt asteroids. IV. New results from the first epoch of the CASLEO survey. Astron. Astrophys. 569, A122, 6 pp.",10.1051/0004-6361/201424238
2017a Gil-Hutton,"Gil-Hutton, R., Lopez-Sisterna, C., Calandra, M. F. 2017a. Polarimetric survey of main-belt asteroids. V. The unusual polarimetric behavior of V-type asteroids. Astron. Astrophys. 599, A114, 6 pp. ",10.1051/0004-6361/201628485
2017b Gil-Hutton,"Gil-Hutton, R., Garcia-Migani, E. 2017b. Polarimetric survey of main-belt asteroids. VI. New results from the second epoch of the CASLEO survey. Astron. Astrophys. 607, A103, 6 pp.",10.1051/0004-6361/201731388
1997 Ishiguro,"Ishiguro, M., Nakayama, H., Kogachi, M., Mukai, T., Nakamura, R., Hirata, R., Okazaki, A. 1997. Maximum visible polarization of 4179 Toutatis in apparition of 1996. Publ. Astron. Soc. Japan 49, L31-L34.",10.1093/pasj/49.5.L31
2017 Ishiguro,"Ishiguro, M., Kuroda, D., Watanabe, M., Bach, Y. P., Kim, J., Lee, M., Sekiguchi, T., Naito, H., Ohtsuka, K., Hanayama, H., Hasegawa, S., Usui, F., Urakawa, S., Imai, M., Sato, M., Kuramoto, K. 2017. Polarimetric study of near-Earth Asteroid (1566) Icarus. Astron. J. 154, 180, 10 pp.",10.3847/1538-3881/aa8b1a
2018 Ito,"Ito, T., Ishiguro, M. Arai, T., Imai, M., Sekiguchi, T., Bach, Y. P., Kwon, Y. G., Kobayashi M., Ishimaru, R., Naito, H., Watanabe, M., Kuramoto, K. 2018. Extremely strong polarization of an active Asteroid (3200) Phaethon. Nature Communications 9, 2486. ",10.1038/s41467-018-04727-2
1983 Johnson,"Johnson, P.E., Kemp, J.C., Lebofsky, M.J., Rieke, G.H. 1983. 10 _m polarimetry of Ceres. Icarus 56, 381-392.",10.1016/0019-1035(83)90159-8
1980 Kiselev,"Kiselev, N.N., Parizhnaya, N.V. 1980. The results of observations of Eros during the great opposition 1975. Astron. Vestnik XIV, 61-63 (Russian).",N/A
1990 Kiselev,"Kiselev, N.N., Lupishko, D.F., Chernova, G.P., Shkuratov, Ju.G. 1990. Polarimetry of Asteroid 1685 Toro. Kinemat. Phys. Neb. Tel. 6, 77-82 (Russian).",N/A
1994 Kiselev,"Kiselev, N.N., Chernova, G.P., Lupishko, D.F. 1994. Polarimetry of Asteroids 1036 Ganymed and 1627 Ivar. Kinemat. Fiz. Neb. Tel. 10, 35-39 (Russian).",N/A
1996 Kiselev,"Kiselev, N.N., Shakhovskoj, N.M., Efimov, Yu.S. 1996. On the polarization opposition effect of E-type Asteroid 64 Angelina. Icarus 120, 408-411.",10.1006/icar.1996.0060
1999 Kiselev,"Kiselev, N.N., Rosenbush, V.K., Jockers, K. 1999. Polarimetry of Asteroid 2100 Ra-Shalom at large phase angle. Icarus 140, 464-466; & Astron. Vestn. 33, 222-230 (Russian).",10.1006/icar.1999.6139
